symbol,peak_date,ratio_4wk,decay_rate_4wk,CDI,event_time_months,is_censored,provisional_type,qc_flags,decay_rate_ci_low,decay_rate_ci_high,pipeline_version
Liz Truss,2022-09-04,0.19,0.1882,0.4033,2.3,0,MODERATE,OK,0.1112,0.2411,v4
Javier Milei,2023-11-19,0.14,0.0882,0.1992,1.61,0,MODERATE,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-0.9718,1.4136,v4
Putin,2022-02-27,0.16,-0.3419,0.0408,2.76,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio,-0.4054,-0.2877,v4
Modi,2014-05-25,0.18,-0.1997,0.081,11.5,1,EPHEMERAL,OK,-0.2624,-0.1054,v4
Netanyahu,2023-10-08,0.4419,-0.0903,0.3079,9.2,0,MODERATE,HIGH_UNCERTAINTY_decay|MULTI_PEAK,-0.4144,0.078,v4
Bolsonaro,2022-10-30,0.07,-0.2735,0.0234,1.15,0,EPHEMERAL,HIGH_UNCERTAINTY_decay,-0.6359,0.0,v4
Macron,2022-04-24,0.08,-0.295,0.0246,1.38,0,EPHEMERAL,OK,-0.4855,-0.2113,v4
Orban,2022-04-03,0.11,-0.0755,0.0813,2.53,0,MODERATE,OK,-0.167,0.0953,v4
Zelensky,2022-02-27,0.15,-0.3391,0.0386,2.07,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-0.47,-0.0556,v4
Erdogan,2023-05-14,0.09,-0.5296,0.0108,1.61,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-1.6843,1.2788,v4
Georgescu,2024-11-24,0.05,-0.8112,0.0019,1.15,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-1.0459,0.0,v4
George Simion,2024-11-24,0.1333,-0.5774,0.0132,2.07,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-0.693,0.0,v4
Charlie Hebdo,2015-01-04,0.02,-1.1511,0.0002,1.15,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-1.6863,-0.4053,v4
Giorgia Meloni,2022-09-25,0.27,0.3741,1.2058,0.46,0,MODERATE,HIGH_UNCERTAINTY_decay,-0.2007,1.0985,v4
Rishi Sunak,2022-10-23,0.03,-0.4871,0.0043,0.69,0,EPHEMERAL,HIGH_UNCERTAINTY_decay,-0.693,-0.2876,v4
Keir Starmer,2024-06-30,0.11,-0.4774,0.0163,2.07,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-0.9444,0.3184,v4
Robert Fico,2023-10-01,0.1429,0.0,0.1429,1.84,0,MODERATE,HIGH_UNCERTAINTY_decay,-0.6926,0.6926,v4
Prabowo Subianto,2024-02-11,0.1,-0.4133,0.0191,1.84,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-0.8873,0.0299,v4
Turkey earthquake,2023-02-05,0.03,-0.8129,0.0012,1.15,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-1.0985,-0.5753,v4
Niger coup,2023-07-30,0.14,-0.518,0.0176,1.61,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-0.7621,-0.1823,v4
Marcel Ciolacu,2024-11-24,0.17,-0.0993,0.1143,1.84,0,MODERATE,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-1.0459,0.2076,v4
Trump,2016-11-06,0.1,-0.3382,0.0259,1.38,0,EPHEMERAL,HIGH_UNCERTAINTY_decay,-0.6931,-0.0953,v4
Donald Trump,2024-11-03,0.05,-0.4288,0.009,0.69,0,EPHEMERAL,HIGH_UNCERTAINTY_decay,-0.6931,0.0,v4
Vladimir Putin,2022-02-20,0.24,-0.5284,0.029,2.99,0,EPHEMERAL,HIGH_UNCERTAINTY_ratio|HIGH_UNCERTAINTY_decay,-0.7783,-0.0408,v4
Narendra Modi,2014-05-25,0.16,-0.2107,0.0689,8.97,0,EPHEMERAL,OK,-0.3285,-0.1178,v4
